Gene Symbol,Affymetrix ID,Module Assigned
1810019J16Rik,1417798_at,NA
1810019J16Rik,1417797_a_at,NA
1810020C19Rik,1456206_at,NA
1810020C19Rik,1455271_at,NA
1810020D17Rik,1451381_at,NA
1810020E01Rik,1451000_at,NA
1810020G14Rik,1423190_at,NA
1810020G14Rik,1450895_a_at,NA
1810021J13Rik,1417174_at,grey
1810022C23Rik,1451588_at,NA
1810023F06Rik,1425120_x_at,NA
1810026J23Rik,1452175_at,NA
1810026J23Rik,1426746_at,NA
1810029B16Rik,1431117_x_at,NA
1810029B16Rik,1423289_a_at,NA
1810029C22Rik,1449971_a_at,NA
1810030J14Rik,1417735_at,NA
1810030N24Rik,1430292_a_at,grey
1810030O07Rik,1429198_at,NA
1810030O07Rik,1433867_at,NA
1810031K17Rik,1427879_at,NA
1810032O08Rik,1436677_at,NA
1810034K20Rik,1420974_at,NA
1810034K20Rik,1450067_a_at,NA
1810034K20Rik,1428337_at,NA
1810034M08Rik,1425410_at,NA
1810034M08Rik,1424992_at,NA
1810034M08Rik,1425682_a_at,NA
1810035L17Rik,1428554_a_at,NA
1810036H07Rik,1453132_a_at,NA
1810037I17Rik,1424365_at,NA
1810037K07Rik,1418915_at,NA
1810042K04Rik,1424087_at,NA
1810043G02Rik,1451288_s_at,NA
1810043G02Rik,1424267_at,NA
1810043M15Rik,1438019_at,NA
1810044D09Rik,1457964_at,NA
1810044O22Rik,1417767_at,NA
1810044O22Rik,1448844_at,NA
1810044O22Rik,1417766_at,NA
1810044O22Rik,1427435_at,NA
1810045K07Rik,1424039_at,NA
1810045K17Rik,1439028_at,NA
1810046J19Rik,1449412_at,NA
1810047C23Rik,1418319_at,blue
1810048J11Rik,1426991_at,turquoise
1810048P08Rik,1425333_at,NA
1810048P08Rik,1451670_at,NA
1810049H13Rik,1460254_at,grey
1810054D07Rik,1440192_at,NA
1810054D07Rik,1453392_at,NA
1810054G18Rik,1426577_a_at,grey
1810055D05Rik,1423625_a_at,brown
1810055D05Rik,1425372_at,NA
1810055E12Rik,1431337_a_at,NA
1810055G02Rik,1425921_a_at,NA
1810057C19Rik,1449533_at,NA
1810058I24Rik,1436339_at,midnightblue
1810059G22Rik,1436963_x_at,NA
1810059G22Rik,1449842_at,NA
1810059G22Rik,1455874_at,NA
1810060J02Rik,1418459_at,NA
1810060J02Rik,1449083_at,grey
1810063B05Rik,1435864_a_at,NA
1810063B05Rik,1429061_at,NA
1810063B07Rik,1427905_at,NA
1810064L21Rik,1431602_a_at,NA
